Application ID,Campus Applied,Course,Exam Venue,Date,Time,,
42884740,MAIN,BSCE,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 16, 2025",8:30 am -11:30 am,,
60371487,MAIN,BSCE,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 16, 2025",8:30 am -11:30 am,,
87531995,MAIN,BSED-FILIPINO,Bohol Island State University - CLARIN Campus,,,,
41662111,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
76511731,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
36426145,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
74095086,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
35883861,MAIN,BSED-FILIPINO,Bohol Island State University - BALILIHAN Campus,"Mar 5, 2025",1:30 pm - 4:30 pm,,
50003398,MAIN,BSED-FILIPINO,Bohol Island State University - CALAPE Campus,,,,
95554029,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
97471973,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
77377857,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
70529516,MAIN,BPED,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 24, 2025",8:30 am -11:30 am,,
55963326,MAIN,BSELECT,Bohol Island State University - BINGAG-DAUIS Campus,"Mar 11, 2025",1:30 pm - 4:30 pm,,
42541144,MAIN,BPED,Bohol Island State University - BALILIHAN Campus,"Mar 5, 2025",1:30 pm - 4:30 pm,,
32471935,MAIN,BPED,"Katipunan National High School - Carmen, Bohol","Mar 1, 2025",8:30 am -11:30 am,,
84430614,MAIN,BPED,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 24, 2025",8:30 am -11:30 am,,
69368067,MAIN,BSIT-COSME,Bohol Island State University - BINGAG-DAUIS Campus,,,,
66754781,MAIN,BSIT-COSME,Bohol Island State University - BINGAG-DAUIS Campus,,,,
71149877,MAIN,BSIT-COSME,Bohol Island State University - BINGAG-DAUIS Campus,,,,
60684319,MAIN,BSIT-COSME,Bohol Island State University - BINGAG-DAUIS Campus,,,,
47436766,MAIN,BSIT-AUTO,Bohol Island State University - BINGAG-DAUIS Campus,,,,
47239908,MAIN,BSIT-AUTO,Bohol Island State University - BINGAG-DAUIS Campus,,,,
81362390,MAIN,BSELEXT,Bohol Island State University - BILAR Campus,,,,
80599323,MAIN,BSIT-AUTO,"San Jose National High School - Talibon, Bohol","Mar 15, 2025",8:30 am -11:30 am,,
54147195,MAIN,BSELECT,Bohol Island State University - BALILIHAN Campus,"Mar 12, 2025",1:30 pm - 4:30 pm,,
63249056,MAIN,BSELECT,Bohol Island State University - BINGAG-DAUIS Campus,"Mar 11, 2025",1:30 pm - 4:30 pm,,
83794942,MAIN,BSELECT,Bohol Island State University - BINGAG-DAUIS Campus,"Mar 11, 2025",1:30 pm - 4:30 pm,,
23849451,MAIN,BSELECT,Bohol Island State University - BINGAG-DAUIS Campus,"Mar 11, 2025",1:30 pm - 4:30 pm,,
22412435,MAIN,BSIT-AUTO,Bohol Island State University - BINGAG-DAUIS Campus,,,,
43913992,MAIN,BSIT-AUTO,Bohol Island State University - BILAR Campus,,,,
68096305,MAIN,BSELECT,Bohol Island State University - BINGAG-DAUIS Campus,"Mar 11, 2025",1:30 pm - 4:30 pm,,
27914907,MAIN,BSIT-AUTO,Bohol Island State University - BINGAG-DAUIS Campus,,,,
32464750,MAIN,BSELECT,Bohol Island State University - BINGAG-DAUIS Campus,"Mar 11, 2025",1:30 pm - 4:30 pm,,
93730056,MAIN,BSIT-AUTO,Bohol Island State University - BINGAG-DAUIS Campus,,,,
32942278,MAIN,BSELECT,Bohol Island State University - CALAPE Campus,,,,
95703850,MAIN,BSELECT,"San Jose National High School - Talibon, Bohol","Mar 15, 2025",8:30 am -11:30 am,,
62945125,MAIN,BSELECT,Bohol Island State University - BINGAG-DAUIS Campus,"Mar 11, 2025",1:30 pm - 4:30 pm,,
39387669,MAIN,BSIT-AUTO,Bohol Island State University - BINGAG-DAUIS Campus,,,,
75308153,MAIN,BSIT-AUTO,Bohol Island State University - BINGAG-DAUIS Campus,,,,
92452238,MAIN,BSELECT,Bohol Island State University - BINGAG-DAUIS Campus,"Mar 11, 2025",1:30 pm - 4:30 pm,,
21295955,MAIN,BSIT-CIVIL,Bohol Island State University - BILAR Campus,,,,
45506536,MAIN,BSELECT,"Katipunan National High School - Carmen, Bohol","Mar 1, 2025",8:30 am -11:30 am,,
